Date,Open,High,Low,Close,Adj Close,Volume
2017-06-27,35.183334,35.340000,34.456665,34.486668,34.219727,5514900
2017-06-28,34.953335,35.463333,34.833332,35.353333,35.079685,3877500
2017-06-29,35.439999,35.459999,33.830002,34.459999,34.193272,9602700
2017-06-30,34.830002,35.006668,34.526669,34.623333,34.355331,5128800
2017-07-03,35.090000,35.293335,34.793335,34.793335,34.524025,3762000
2017-07-05,34.963333,35.123333,34.563332,35.020000,34.748928,3602700
2017-07-06,34.643333,34.700001,33.970001,34.086666,33.822819,5341500
2017-07-07,34.343334,34.786667,34.256668,34.713333,34.444637,3738600
2017-07-10,34.653332,35.006668,34.570000,34.810001,34.540554,2368500
2017-07-11,34.730000,34.896667,34.160000,34.730000,34.461174,3505500
2017-07-12,35.209999,35.590000,35.206665,35.513332,35.238445,3925200
2017-07-13,35.523335,35.740002,35.403332,35.680000,35.403820,3387300
2017-07-14,35.700001,36.349998,35.633335,36.153332,35.873486,3552000
2017-07-17,36.139999,36.333332,36.076668,36.156666,35.876801,3152700
2017-07-18,35.956665,36.243332,35.779999,36.213333,35.933025,3506100
2017-07-19,36.383335,36.799999,36.363335,36.799999,36.515148,3131100
2017-07-20,36.923332,36.980000,36.573334,36.826668,36.541618,4536600
2017-07-21,36.553333,36.753334,36.430000,36.753334,36.468842,3627900
2017-07-24,36.700001,36.773335,36.476665,36.716667,36.432465,3132600
2017-07-25,37.110001,37.139999,36.856667,36.936668,36.650757,3650700
2017-07-26,37.116665,37.133335,36.823334,36.966667,36.680527,2573400
2017-07-27,37.216667,37.216667,36.196667,36.880001,36.594536,5200500
2017-07-28,36.603333,36.783333,36.380001,36.706665,36.422539,3215100
2017-07-31,36.926666,36.963333,36.549999,36.656666,36.372929,2668200
2017-08-01,36.963333,36.973331,36.673332,36.873333,36.587917,2424000
2017-08-02,36.963333,37.013332,36.466667,36.916668,36.630917,3608700
2017-08-03,36.893333,36.893333,36.586666,36.743332,36.458923,2796600
2017-08-04,36.963333,37.083332,36.726665,36.900002,36.614380,2562000
2017-08-07,36.936668,37.113335,36.889999,37.096668,36.809525,1779900
